tillage_method,mulch_rate,depth,soil_water
Ripper,1 mulch rate,300 mm,11.96047697
Ripper,1 mulch rate,300 mm,40.59230769
Ripper,1 mulch rate,300 mm,20.96437841
Ripper,1 mulch rate,300 mm,24.55848064
Ripper,1 mulch rate,300 mm,24.44908722
Ripper,1 mulch rate,300 mm,33.76601144
Ripper,1 mulch rate,300 mm,9.66456044
Ripper,1 mulch rate,300 mm,16.07513575
Ripper,1 mulch rate,300 mm,20.06765837
Ripper,1 mulch rate,300 mm,24.94405402
Ripper,1 mulch rate,300 mm,25.36154552
Ripper,1 mulch rate,300 mm,25.57982897
Ripper,1 mulch rate,300 mm,23.86698297
Ripper,1 mulch rate,300 mm,13.83973592
Ripper,1 mulch rate,300 mm,12.19075581
Ripper,1 mulch rate,300 mm,25.7219457
Ripper,1 mulch rate,600 mm,62.52835908
Ripper,1 mulch rate,600 mm,55.49842706
Ripper,1 mulch rate,600 mm,45.91662136
Ripper,1 mulch rate,600 mm,61.75663045
Ripper,1 mulch rate,600 mm,26.34208377
Ripper,1 mulch rate,600 mm,32.51377896
Ripper,1 mulch rate,600 mm,57.22256376
Ripper,1 mulch rate,600 mm,47.85661742
Ripper,1 mulch rate,600 mm,61.04264731
Ripper,1 mulch rate,600 mm,50.3454175
Ripper,1 mulch rate,600 mm,75.30426956
Ripper,1 mulch rate,600 mm,28.26439315
Ripper,1 mulch rate,600 mm,37.4442147
Ripper,1 mulch rate,600 mm,36.8246882
Ripper,1 mulch rate,600 mm,48.09412504
Ripper,1 mulch rate,600 mm,50.49281385
Ripper,1 mulch rate,600 mm,55.21852463
Ripper,1 mulch rate,600 mm,57.39412583
Ripper,1 mulch rate,600 mm,33.32762412
Ripper,1 mulch rate,600 mm,32.01549764
Ripper,1 mulch rate,600 mm,54.08608805
Ripper,1 mulch rate,900 mm,88.99535014
Ripper,1 mulch rate,900 mm,77.20929225
Ripper,1 mulch rate,900 mm,107.1272644
Ripper,1 mulch rate,900 mm,45.29681644
Ripper,1 mulch rate,900 mm,62.58711379
Ripper,1 mulch rate,900 mm,77.06085379
Ripper,1 mulch rate,900 mm,98.93432647
Ripper,1 mulch rate,900 mm,80.66384787
Ripper,1 mulch rate,900 mm,119.1118537
Ripper,1 mulch rate,900 mm,51.5713036
Ripper,1 mulch rate,900 mm,72.26697756
Ripper,1 mulch rate,900 mm,57.29796927
Ripper,1 mulch rate,900 mm,82.09226053
Ripper,1 mulch rate,900 mm,79.24230546
Ripper,1 mulch rate,900 mm,97.25256956
Ripper,1 mulch rate,900 mm,54.71824912
Ripper,1 mulch rate,900 mm,57.06585328
Ripper,1 mulch rate,900 mm,96.12235388
Basins,2 mulch rate,300 mm,37.97656562
Basins,2 mulch rate,300 mm,35.12428747
Basins,2 mulch rate,300 mm,22.93069366
Basins,2 mulch rate,300 mm,34.01244378
Basins,2 mulch rate,300 mm,17.19118227
Basins,2 mulch rate,300 mm,12.80119048
Basins,2 mulch rate,300 mm,15.87263309
Basins,2 mulch rate,300 mm,27.79140449
Basins,2 mulch rate,300 mm,33.49833479
Basins,2 mulch rate,300 mm,27.69659091
Basins,2 mulch rate,300 mm,31.58423592
Basins,2 mulch rate,300 mm,9.701009658
Basins,2 mulch rate,300 mm,15.31682674
Basins,2 mulch rate,300 mm,19.95151631
Basins,2 mulch rate,300 mm,34.23474903
Basins,2 mulch rate,300 mm,30.80776723
Basins,2 mulch rate,300 mm,26.56243848
Basins,2 mulch rate,300 mm,26.37623847
Basins,2 mulch rate,300 mm,14.19550366
Basins,2 mulch rate,300 mm,13.80503407
Basins,2 mulch rate,300 mm,28.86103523
Basins,2 mulch rate,600 mm,75.71394342
Basins,2 mulch rate,600 mm,83.55032137
Basins,2 mulch rate,600 mm,52.43139789
Basins,2 mulch rate,600 mm,81.2743756
Basins,2 mulch rate,600 mm,33.36006837
Basins,2 mulch rate,600 mm,28.03251034
Basins,2 mulch rate,600 mm,38.62783064
Basins,2 mulch rate,600 mm,70.16229434
Basins,2 mulch rate,600 mm,61.50687502
Basins,2 mulch rate,600 mm,54.56080525
Basins,2 mulch rate,600 mm,68.24038875
Basins,2 mulch rate,600 mm,31.23267597
Basins,2 mulch rate,600 mm,35.72363346
Basins,2 mulch rate,600 mm,46.29142794
Basins,2 mulch rate,600 mm,70.17766605
Basins,2 mulch rate,600 mm,61.11540932
Basins,2 mulch rate,600 mm,58.59305744
Basins,2 mulch rate,600 mm,62.43697294
Basins,2 mulch rate,600 mm,34.47571199
Basins,2 mulch rate,600 mm,27.69621876
